PC1,PC2,year,driverId,driver_name,primary_constructor_name
-5.29060850305996,2.509355817701837,2014,1,Lewis Hamilton,Mercedes
-4.793259956990369,0.008878777694157345,2014,3,Nico Rosberg,Mercedes
-1.9998409477323045,0.17197708672203496,2014,4,Fernando Alonso,Ferrari
-0.07238881980703352,-0.5730652310105716,2014,8,Kimi Räikkönen,Ferrari
-0.9874861671537897,-0.4496994288478323,2014,13,Felipe Massa,Williams
2.742689968326985,-0.773964350448305,2014,16,Adrian Sutil,Sauber
-0.8496264603634649,-0.006500452096220987,2014,18,Jenson Button,McLaren
-1.8420162383021739,0.836334661538928,2014,20,Sebastian Vettel,Red Bull
2.923210344018119,0.5319205888368629,2014,154,Romain Grosjean,Lotus F1
3.6361573984342046,1.8470288228070408,2014,155,Kamui Kobayashi,Caterham
-0.45397592175924933,1.1205053590773577,2014,807,Nico Hülkenberg,Force India
2.918023384379601,1.6621716311954418,2014,813,Pastor Maldonado,Lotus F1
0.733644126034286,1.1129958908372266,2014,815,Sergio Pérez,Force India
-2.9618951883863804,1.3144423301188326,2014,817,Daniel Ricciardo,Red Bull
0.8724684717451838,-0.06821635950884736,2014,818,Jean-Éric Vergne,Toro Rosso
3.4912474739414967,1.8739599805908431,2014,820,Max Chilton,Marussia
3.3459767247535717,-0.03123212016703083,2014,821,Esteban Gutiérrez,Sauber
-2.463716623177221,-0.1081156440632978,2014,822,Valtteri Bottas,Williams
3.500309525716333,1.219069027096254,2014,824,Jules Bianchi,Marussia
-0.16268465249774294,-0.6949673179766893,2014,825,Kevin Magnussen,McLaren
1.6137454743426585,-0.3165685498509371,2014,826,Daniil Kvyat,Toro Rosso
3.7348786725935836,1.7892748077236507,2014,828,Marcus Ericsson,Caterham
-6.045289143781835,0.7718391044318004,2015,1,Lewis Hamilton,Mercedes
-5.026322885671219,0.06633518359996712,2015,3,Nico Rosberg,Mercedes
2.4873257608913937,1.5638692919147683,2015,4,Fernando Alonso,McLaren
-1.338542142296278,0.1142999883364858,2015,8,Kimi Räikkönen,Ferrari
-1.0866437080700306,-0.3351057639058224,2015,13,Felipe Massa,Williams
2.147979234923062,0.9262350768651546,2015,18,Jenson Button,McLaren
-3.8888442185620624,1.2097672014625607,2015,20,Sebastian Vettel,Ferrari
0.763495132755707,0.5245762076566551,2015,154,Romain Grosjean,Lotus F1
1.0215764424676919,-0.04709321662038265,2015,807,Nico Hülkenberg,Force India
1.4891043886013386,0.8887834746829025,2015,813,Pastor Maldonado,Lotus F1
0.3948722094724224,0.2979282641321552,2015,815,Sergio Pérez,Force India
-0.0011180936957743471,-0.4958266058975695,2015,817,Daniel Ricciardo,Red Bull
-1.2813828625881178,-0.857135441587622,2015,822,Valtteri Bottas,Williams
0.2617413311859192,0.6005435178041127,2015,826,Daniil Kvyat,Red Bull
2.193887129465362,0.5059921706354865,2015,828,Marcus Ericsson,Sauber
2.918085430106377,0.6243491225793448,2015,829,Will Stevens,Manor Marussia
0.8357637625164648,0.20909323698709525,2015,830,Max Verstappen,Toro Rosso
1.3478925521113065,0.8844094570808925,2015,831,Felipe Nasr,Sauber
1.7465526134030185,-0.05681742543642002,2015,832,Carlos Sainz,Toro Rosso
2.950282879156883,2.2982841568629406,2015,833,Roberto Merhi,Manor Marussia
2.54994107727778,3.668854412386002,2015,834,Alexander Rossi,Manor Marussia
-5.48870282940072,1.6901734980378251,2016,1,Lewis Hamilton,Mercedes
-5.861092200209404,0.24410639855824803,2016,3,Nico Rosberg,Mercedes
1.0697834330987006,0.3523049335596801,2016,4,Fernando Alonso,McLaren
-2.1889989622183803,-0.4815441715504854,2016,8,Kimi Räikkönen,Ferrari
0.49729286969142317,-0.9367690345308708,2016,13,Felipe Massa,Williams
2.2005492673695124,0.26789953042667963,2016,18,Jenson Button,McLaren
-2.4273571870571176,0.31021164379814886,2016,20,Sebastian Vettel,Ferrari
1.8541954639275042,0.36684513913495764,2016,154,Romain Grosjean,Haas F1 Team
-0.1705905436101312,-1.3194393466646177,2016,807,Nico Hülkenberg,Force India
-0.5204741179029517,-0.1842319882601492,2016,815,Sergio Pérez,Force India
-3.612994410434418,-0.6941962990748326,2016,817,Daniel Ricciardo,Red Bull
2.770249264153082,-0.858189523107979,2016,821,Esteban Gutiérrez,Haas F1 Team
-0.28998038769767837,-1.049804190886127,2016,822,Valtteri Bottas,Williams
3.0789671961496023,0.9096973964041409,2016,825,Kevin Magnussen,Renault
1.9564330838925015,-1.9153531196421285,2016,826,Daniil Kvyat,Toro Rosso
3.2894464815855016,0.9341168419059919,2016,828,Marcus Ericsson,Sauber
-2.6803424844615305,-2.121091765041388,2016,830,Max Verstappen,Red Bull
3.1300467167817088,0.7526822070029481,2016,831,Felipe Nasr,Sauber
1.0773212890294315,-0.46428953832533754,2016,832,Carlos Sainz,Toro Rosso
3.048212549078134,0.5072615056729666,2016,835,Jolyon Palmer,Renault
3.7356213445097928,0.4613272606206955,2016,836,Pascal Wehrlein,Manor Marussia
2.9451766404560242,1.8725080318095813,2016,837,Rio Haryanto,Manor Marussia
3.141347042389671,3.4194402038240965,2016,839,Esteban Ocon,Manor Marussia
-5.296127596950738,1.00023704254525,2017,1,Lewis Hamilton,Mercedes
2.021419026109097,0.40549432205116903,2017,4,Fernando Alonso,McLaren
-2.7257197824182207,-0.723497950314432,2017,8,Kimi Räikkönen,Ferrari
0.9910488501278518,0.043107882282972236,2017,13,Felipe Massa,Williams
-4.561048500590982,0.5420584425119322,2017,20,Sebastian Vettel,Ferrari
